Author,Quote,Tags,Author Quote Count,Author Rank
Albert Einstein,The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.,"change, deep-thoughts, thinking, world",9,1
J.K. Rowling,"It is our choices, Harry, that show what we truly are, far more than our abilities.","abilities, choices",7,2
Albert Einstein,There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.,"inspirational, life, live, miracle, miracles",9,1
Jane Austen,"The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.","aliteracy, books, classic, humor",2,6
Marilyn Monroe,"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.","be-yourself, inspirational",7,3
Albert Einstein,Try not to become a man of success. Rather become a man of value.,"adulthood, success, value",9,1
André Gide,It is better to be hated for what you are than to be loved for what you are not.,"life, love",1,15
Thomas A. Edison,"I have not failed. I've just found 10,000 ways that won't work.","edison, failure, inspirational, paraphrased",1,16
Eleanor Roosevelt,A woman is like a tea bag; you never know how strong it is until it's in hot water.,misattributed-eleanor-roosevelt,2,7
Steve Martin,"A day without sunshine is like, you know, night.","humor, obvious, simile",1,17
Marilyn Monroe,"This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.","friends, heartbreak, inspirational, life, love, sisters",7,3
J.K. Rowling,"It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.","courage, friends",7,2
Albert Einstein,"If you can't explain it to a six year old, you don't understand it yourself.","simplicity, understand",9,1
Bob Marley,"You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.",love,3,5
Dr. Seuss,"I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.",fantasy,5,4
Douglas Adams,"I may not have gone where I intended to go, but I think I have ended up where I needed to be.","life, navigation",1,18
Elie Wiesel,"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.","activism, apathy, hate, indifference, inspirational, love, opposite, philosophy",1,19
Friedrich Nietzsche,"It is not a lack of love, but a lack of friendship that makes unhappy marriages.","friendship, lack-of-friendship, lack-of-love, love, marriage, unhappy-marriage",1,20
Mark Twain,"Good friends, good books, and a sleepy conscience: this is the ideal life.","books, contentment, friends, friendship, life",2,8
Allen Saunders,Life is what happens to us while we are making other plans.,"fate, life, misattributed-john-lennon, planning, plans",1,21
